제목,작성 날짜,주최사,활동내용,모집 대상,활동 지역,활동 기간,모집 시작일,모집 마감일
 [빨간클립봉사단]빨간클립봉사단·나눔콘서트 기획단 모집(~8.17),20180806,빨간클립봉사단,봉사활동 및 기부나눔콘서트 기획,"봉사활동 및 문화·예술 활동에 관심 있는 대학생(휴학생, 졸업생 가능)",수도권,~2018년 12월 말,20180806,20180817
 즐거운 봉사하러 가즈아! 남서로타랙트(8/1~8/15),20180806,국제로타리 3640지구 남서 로타랙트,"안녕하세요! 저희는 20세부터 만31세까지 남녀 누구나 함께 봉사활동을 하며 친목을 다지는 봉사 동아리, 남서 로타랙트입니다^^로타랙트는 국제 로타리 클럽의 후원을 받는 국제봉사단체인데요. 로타리 클럽은 한국에 17개의 지구가 있으며저희 '남서 로타랙트'는 그 중 서울 3640 지구에 속해있는 서울 남서 로타리 클럽의 후원을 받고 있습니다.현재는 서울시 강동구 암사동에 위치한 암사 재활원 이라는 중증 장애인 시설에서귀여운 아이들과 함께 놀이활동, 식사보조, 청소와 같은 봉사활동을 한 달에 한 번정기적으로 하고 있답니다ㅎㅎ또 서울 3640지구에는 저희 남서 로타랙트 클럽 말고도 9개의 클럽이 더 있어서다양한 종류의 봉사활동을 연합해서 함께 하고 있습니다^^정기 봉사활동장소: 서울시 강동구 암사동 암사재활원 센터(암사역 1번출구)시간: 매달 넷째 주 일요일 오전 10시 ~ 오후 1시봉사활동내용: 중증 장애를 가진 어린 아이들과 놀이 활동, 식사 보조, 청소장소: 서울특별시 영등포구 영등포동 3가 6번지, 영등포시장 지하쇼핑센터 1번출구시간: 매달 셋째 주 토요일 오전 10시 ~ 오후 2시봉사활동내용 : 독거노인분들을 대상으로 배식, 주방보조, 설거지, 테이블 세팅 등의 봉사지구 연합 봉사활동정기적으로 '생명사랑밤길걷기(범국민 자살예방 캠페인)', 사랑나눔 연탄봉사활동, 김장봉사활동 등다양한 연합 봉사를 진행하고 있습니다.타 클럽 봉사 교류 활동3640지구 내 10개의 클럽과 봉사활동 교류를 활발히 펼치고 있습니다.친목 활동 및 행사매년 3640지구 내 로타랙트 인들과 화합, 친목을 위해 '지구대회'라는 행사를 진행하고 있으며그 밖에도 MT, 번개, APRRC(해외 로타랙트 교류 행사), RYLA(리더십 연수 프로그램) 등행사를 통해 다양한 사람들과의 인맥을 넓힐 수 있습니다.","서울에서 활동 가능한 20세 ~ 만 31세 남녀 누구나!대학생, 대학원생, 직장인 모두 함께해요!동아리 활동에 성실하게 참여해 주실 분들은 더더욱 환영합니다! 졸업생 가능 여부만20세~ 만 31세 남녀라면 재학생, 졸업생, 직장인 관계없이 모두 가능합니다.",서울,2018년 8월 26일(일)부터(이 날 정기 봉사활동이 예정되어 있습니다),20180801,20180815
 [대학문화네트워크] 제17회 대학로문화축제 자원활동가 모집 (~8/24),20180805,[대학문화네트워크] 제17회 대학로문화축제 자원활동가 모집,"축제 운영 지원 및 진행 스태프, 온라인 서포터즈",대학생 (졸업생 불가),서울 종로구 대학로,"9/1(토), 29~30(토,일) / SNS기자단의 경우 9월 한 달",20180805,20180824
 제10회 DMZ국제다큐영화제 자원활동가 大모집! (~8/14까지),20180805,DMZ국제다큐영화제,영화제 현장 및 사무국에서 영화제 기간 동안 영화제의 운영과 기획을 지원할 자원활동가 여러분들을 모집합니다 :),만 18세 이상 누구나 가능!,"메가박스 백석, 롯데시네마 파주 롯데 아울렛, 영화제 사무국(고양터미널 4층) 등 영화제 행사장 일대",9월 13일부터 9월 20일까지,20180805,20180814
 [부산봉사] SCI 국제시민봉사회 부산경남지부에서 대학생 자원봉사자를 모집합니다,20180804,sci 국제시민봉사회 부산경남지부,"일일 봉사, 주말 봉사, 정기적 모임",부산경남소재 대학생,부산,모든 활동에는 강제성이 없이 자신이 원하는 날짜에 원하는 활동을 할 수 있습니다.,20180804,0
 즐거운 봉사하러 가즈아! 남서로타랙트(8/1~8/15),20180804,국제로타리 3640지구 남서 로타랙트,"안녕하세요! 저희는 20세부터 만31세까지 남녀 누구나 함께 봉사활동을 하며 친목을 다지는 봉사 동아리, 남서 로타랙트입니다^^로타랙트는 국제 로타리 클럽의 후원을 받는 국제봉사단체인데요. 로타리 클럽은 한국에 17개의 지구가 있으며저희 '남서 로타랙트'는 그 중 서울 3640 지구에 속해있는 서울 남서 로타리 클럽의 후원을 받고 있습니다.현재는 서울시 강동구 암사동에 위치한 암사 재활원 이라는 중증 장애인 시설에서귀여운 아이들과 함께 놀이활동, 식사보조, 청소와 같은 봉사활동을 한 달에 한 번정기적으로 하고 있답니다ㅎㅎ또 서울 3640지구에는 저희 남서 로타랙트 클럽 말고도 9개의 클럽이 더 있어서다양한 종류의 봉사활동을 연합해서 함께 하고 있습니다^^정기 봉사활동장소: 서울시 강동구 암사동 암사재활원 센터(암사역 1번출구)시간: 매달 넷째 주 일요일 오전 10시 ~ 오후 1시봉사활동내용: 중증 장애를 가진 어린 아이들과 놀이 활동, 식사 보조, 청소장소: 서울특별시 영등포구 영등포동 3가 6번지, 영등포시장 지하쇼핑센터 1번출구시간: 매달 셋째 주 토요일 오전 10시 ~ 오후 2시봉사활동내용 : 독거노인분들을 대상으로 배식, 주방보조, 설거지, 테이블 세팅 등의 봉사지구 연합 봉사활동정기적으로 '생명사랑밤길걷기(범국민 자살예방 캠페인)', 사랑나눔 연탄봉사활동, 김장봉사활동 등다양한 연합 봉사를 진행하고 있습니다.타 클럽 봉사 교류 활동3640지구 내 10개의 클럽과 봉사활동 교류를 활발히 펼치고 있습니다.친목 활동 및 행사매년 3640지구 내 로타랙트 인들과 화합, 친목을 위해 '지구대회'라는 행사를 진행하고 있으며그 밖에도 MT, 번개, APRRC(해외 로타랙트 교류 행사), RYLA(리더십 연수 프로그램) 등행사를 통해 다양한 사람들과의 인맥을 넓힐 수 있습니다.","서울에서 활동 가능한 20세 ~ 만 31세 남녀 누구나!대학생, 대학원생, 직장인 모두 함께해요!동아리 활동에 성실하게 참여해 주실 분들은 더더욱 환영합니다! 졸업생 가능 여부만20세~ 만 31세 남녀라면 재학생, 졸업생, 직장인 관계없이 모두 가능합니다.",서울,2018년 8월 26일(일)부터(이 날 정기 봉사활동이 예정되어 있습니다),20180801,20180815
 2018 국제기억력대회 자원봉사자 모집 (~8/11),20180803,> [사단법인 기억력스포츠 협회] 2018 국제기억력대회 자원봉사자 모집 한국관광공사,> 진행 보조/ 통역 / 채점 / 심판 활동,"> 누구나 참여가능합니다<우대사항>서울, 경기, 수도권에 거주하시는 분 기억력대회에 관심이 있으신 분 특이한 경험과 래퍼런스를 얻고 싶으신 분",서울대학교 글로벌컨벤션플라자,"> 1. 세미나(8얼24일): 오후 6시  9시 2. 국제대회 (8월 25일): 오전 9시  오후 6시 서울대학교 글로벌컨벤션플라자에서 진행(1,2 모두 참여 가능, 국제대회 봉사참여의 경우 양일 모두 참석해주세요)* 8월 12일 (일) 오전 10시 12시 사전교육이 있습니다.",20180803,선착순
 강동야학 교육봉사 신임교사 모집 (~8/15),20180803,강동야간학교,초등과학 및 초등사회 교사 모집(수업은 주1회 저녁 7:20~8:50분까지 진행됩니다.),"고등학교 교육 과정을 이수하신 (졸업 및 검정고시) 모든 분 지원 가능합니다(연령, 성별 제한 없습니다)","(주소 : 강동구 천호4동 398번지, 천호동성당 근처)   지하철 5,8호선 천호역에서 버스 세 정거장, 도보 15분 (버스 : 고분다리시장 정류장 하차)",임용후 최소 1년,20180803,20180815
 [가락종합사회복지관] 2018 '더위사냥 물총축제' 자원봉사자 모집 (~8/6),20180803,가락종합사회복지관,'더위사냥 물총축제'부스운영 및 진행요원 자원봉사자 모집8/8(수) 하루!!!,성인,송파구 장지동 파인타운아파트 9단지 마을문고,8/8(수) 11:0017:00 (봉사시간 총 6시간),20180730,20180806
" 굿네이버스 서울북부지부 성북,도봉,강북구 아동성폭력예방인형극 자원봉사자 모집(모집시까지)",20180803,굿네이버스 서울북부 서울성북아동보호전문기관,"1. 성폭력예방인형극이란?  인형극을 통해 아동에게 성폭력예방 교육을 진행  인형극 목적: 아동이 일상에서 서로간의 배려와 존중의 태도를 갖추고 안전원칙을 실천하는 교육을 통해 상호 존중 의식을 함양하고, 유인 및 성폭력 위험 발생 시 대처방법을 습득하기 위함.  교육대상: 초등 저학년   2. 활동내용  초등학교를 직접 방문하여 인형극 진행 (팀별 7명이상)  인형극 무대 설치, 인형 조작, 음향 및 조명 조절 등","아동을 사랑하는 사람 누구나(연령, 성별 관계없이 가능함)","강북구, 성북구, 도봉구",9~11월,20180803,20180810
 부산 강서구 대학생 자원봉사자 모집합니다~(8월 8일까지 마감),20180803,"강서구자원봉사센터 청소년자원봉사자학교 ""쓰레기ZERO","중학생 대상 자원봉사 프로그램 진행 보조(미세플라스틱이 인체에 미치는 영향,플라스틱 및 일회용품줄이는 방법을 주제로조별활동, 발표 진행 시 활동 보조)",재학생 선호,부산시 강서구 대저동(3호선 대저역 도보 3분 거리),"2018년 8월 10일(금) 오후 1시~5시(4시간), 1회기 활동",20180803,20180808
" [D-7] 대학생 연합 토론교육봉사단체 ""대풍단"" 7기 모집(~8/10)",20180803,한국 청소년 문화진흥협회,"서울지역 3개 지부(수유, 홍대, 건대) 지역아동센터에서 토론교육 봉사를 실시(주 1회)전국토론대회에서 심사위원이나 토론 진행을 맡는 퍼실리테이터로 위촉되어 활동(매 학기 1회)프로그램 제작팀, 기획팀, 인프라 구축팀에 소속되어 팀 활동 진행매월 마지막 주 토요일 총회 진행토론활동지도사 3급 자격증 취득을 위한 자격증 교육 이수","토론을 좋아하고 교육을 사랑하는 휴학생, 재학생","수유 지부, 홍대(망원) 지부, 건대 지부",1년,20180716,20180810
 즐거운 봉사하러 가즈아! 남서로타랙트(8/1~8/15),20180802,국제로타리 3640지구 남서 로타랙트,"안녕하세요! 저희는 20세부터 만31세까지 남녀 누구나 함께 봉사활동을 하며 친목을 다지는 봉사 동아리, 남서 로타랙트입니다^^로타랙트는 국제 로타리 클럽의 후원을 받는 국제봉사단체인데요. 로타리 클럽은 한국에 17개의 지구가 있으며저희 '남서 로타랙트'는 그 중 서울 3640 지구에 속해있는 서울 남서 로타리 클럽의 후원을 받고 있습니다.현재는 서울시 강동구 암사동에 위치한 암사 재활원 이라는 중증 장애인 시설에서귀여운 아이들과 함께 놀이활동, 식사보조, 청소와 같은 봉사활동을 한 달에 한 번정기적으로 하고 있답니다ㅎㅎ또 서울 3640지구에는 저희 남서 로타랙트 클럽 말고도 9개의 클럽이 더 있어서다양한 종류의 봉사활동을 연합해서 함께 하고 있습니다^^정기 봉사활동장소: 서울시 강동구 암사동 암사재활원 센터(암사역 1번출구)시간: 매달 넷째 주 일요일 오전 10시 ~ 오후 1시봉사활동내용: 중증 장애를 가진 어린 아이들과 놀이 활동, 식사 보조, 청소장소: 서울특별시 영등포구 영등포동 3가 6번지, 영등포시장 지하쇼핑센터 1번출구시간: 매달 셋째 주 토요일 오전 10시 ~ 오후 2시봉사활동내용 : 독거노인분들을 대상으로 배식, 주방보조, 설거지, 테이블 세팅 등의 봉사지구 연합 봉사활동정기적으로 '생명사랑밤길걷기(범국민 자살예방 캠페인)', 사랑나눔 연탄봉사활동, 김장봉사활동 등다양한 연합 봉사를 진행하고 있습니다.타 클럽 봉사 교류 활동3640지구 내 10개의 클럽과 봉사활동 교류를 활발히 펼치고 있습니다.친목 활동 및 행사매년 3640지구 내 로타랙트 인들과 화합, 친목을 위해 '지구대회'라는 행사를 진행하고 있으며그 밖에도 MT, 번개, APRRC(해외 로타랙트 교류 행사), RYLA(리더십 연수 프로그램) 등행사를 통해 다양한 사람들과의 인맥을 넓힐 수 있습니다.","서울에서 활동 가능한 20세 ~ 만 31세 남녀 누구나!대학생, 대학원생, 직장인 모두 함께해요!동아리 활동에 성실하게 참여해 주실 분들은 더더욱 환영합니다! 졸업생 가능 여부만20세~ 만 31세 남녀라면 재학생, 졸업생, 직장인 관계없이 모두 가능합니다.",서울,2018년 8월 26일(일)부터(이 날 정기 봉사활동이 예정되어 있습니다),20180801,20180815
 [빨간클립봉사단]빨간클립봉사단·나눔콘서트 기획단 모집(~8.17),20180802,빨간클립봉사단,봉사활동 및 기부나눔콘서트 기획,"봉사활동 및 문화·예술 활동에 관심 있는 대학생(휴학생, 졸업생 가능)",수도권,~2018년 12월 말,20180802,20180817
 [아띠펜도]일요일에 시간 어때요? 봉사팀 아띠펜도 12기 회원 모집(~8/8),20180802,아띠펜도 봉사팀,승가원에서 장애아동친구들과 함께하는 정기봉사와정기 봉사시간 내에 아띠펜도에서 직접 기획하고 준비하여 진행하는 기획봉사로 활동하고 있습니다!!봉사 후에는 아띠펜도의 친목을 다질 수 있는 꿀맛 저녁식사까지 최고최고시험기간에는 잠시 활동을 중지하니 부담 갖지 말고 지원해주세요!8월 18일 토요일 아띠펜도 OT가 예정되어 있습니다. 필참이니 참고해주세요.,20대 봉사에 관심과 열정이 있으신 누구나 지원 가능합니다! 재학생 휴학생 졸업생 상관 없습니다,서울 성북구 안암역 10분거리 승가원 장애아동시설,2018년 12월까지(연장 가능),20180802,20180808
 굿네이버스 좋은마음센터 서울동작 성폭력예방인형극 자원봉사자 모집,20180802,굿네이버스 좋은마음센터 서울동작," 동작구, 관악구에 있는 초등학교를 직접 방문하여 인형극 진행"," 대학생이면 누구나 가능(휴학생 포함, 졸업생 불가능)"," 관악구, 동작구",,20180802,20180810
 [삼성화재] 꿈터공부방 12기 대학생 봉사단 모집(~8/13),20180802,삼성화재,매주 2회 중학생 멘티 대상 학습 멘토링 진행,"서울 소재 대학생(휴학생, 대학원생 가능)*졸업생은 불가합니다.",*장위종합사회복지관(서울시 성북구 소재),*18년 9월 ~19년 2월,20181808,20181808
 목포세계마당페스티벌에서 자원봉사자 빠꼼이 모집(~8/16)숙식제공,20180802,세계마당아트진흥회,"공연장 운영: 배우들 등퇴장로 확보및 관객통제, 사회보기등",예술을 사랑하는 19세이상 성인남녀,목포시 유달산 일대및 시내거리,8월 31일~9월2일까지(8월 30일 저녁 7시 빠꼼이 오티~이때부터 합숙시작),20180802,20180816
 [2018 광복런] 천안에서 열리는 이색축제 자원봉사자 모집 (~8/7 마감),20180802,천안시,광복런 코스 안내/등록 및 종합안내소/교통통제/무대 운영 보조/물품보관소 및 탈의실 등,고등학생 이상,천안역 앞 차 없는 거리,2018.8.11 (토) 10:00 ~ 2018.8.12 (일) 20:30 (시간대 선택 가능),20180802,20180807
 즐거운 봉사하러 가즈아! 남서로타랙트(8/1~8/15),20180802,국제로타리 3640지구 남서 로타랙트,"안녕하세요! 저희는 20세부터 만31세까지 남녀 누구나 함께 봉사활동을 하며 친목을 다지는 봉사 동아리, 남서 로타랙트입니다^^로타랙트는 국제 로타리 클럽의 후원을 받는 국제봉사단체인데요. 로타리 클럽은 한국에 17개의 지구가 있으며저희 '남서 로타랙트'는 그 중 서울 3640 지구에 속해있는 서울 남서 로타리 클럽의 후원을 받고 있습니다.현재는 서울시 강동구 암사동에 위치한 암사 재활원 이라는 중증 장애인 시설에서귀여운 아이들과 함께 놀이활동, 식사보조, 청소와 같은 봉사활동을 한 달에 한 번정기적으로 하고 있답니다ㅎㅎ또 서울 3640지구에는 저희 남서 로타랙트 클럽 말고도 9개의 클럽이 더 있어서다양한 종류의 봉사활동을 연합해서 함께 하고 있습니다^^정기 봉사활동장소: 서울시 강동구 암사동 암사재활원 센터(암사역 1번출구)시간: 매달 넷째 주 일요일 오전 10시 ~ 오후 1시봉사활동내용: 중증 장애를 가진 어린 아이들과 놀이 활동, 식사 보조, 청소장소: 서울특별시 영등포구 영등포동 3가 6번지, 영등포시장 지하쇼핑센터 1번출구시간: 매달 셋째 주 토요일 오전 10시 ~ 오후 2시봉사활동내용 : 독거노인분들을 대상으로 배식, 주방보조, 설거지, 테이블 세팅 등의 봉사지구 연합 봉사활동정기적으로 '생명사랑밤길걷기(범국민 자살예방 캠페인)', 사랑나눔 연탄봉사활동, 김장봉사활동 등다양한 연합 봉사를 진행하고 있습니다.타 클럽 봉사 교류 활동3640지구 내 10개의 클럽과 봉사활동 교류를 활발히 펼치고 있습니다.친목 활동 및 행사매년 3640지구 내 로타랙트 인들과 화합, 친목을 위해 '지구대회'라는 행사를 진행하고 있으며그 밖에도 MT, 번개, APRRC(해외 로타랙트 교류 행사), RYLA(리더십 연수 프로그램) 등행사를 통해 다양한 사람들과의 인맥을 넓힐 수 있습니다.","서울에서 활동 가능한 20세 ~ 만 31세 남녀 누구나!대학생, 대학원생, 직장인 모두 함께해요!동아리 활동에 성실하게 참여해 주실 분들은 더더욱 환영합니다! 졸업생 가능 여부만20세~ 만 31세 남녀라면 재학생, 졸업생, 직장인 관계없이 모두 가능합니다.",서울,2018년 8월 26일(일)부터(이 날 정기 봉사활동이 예정되어 있습니다),20180801,20180815
 [한강몽땅] 8월 15일 자전거한바퀴(봉사시간 총 8시간),20180802,서울특별시 한강사업본부,"행사 참가자 등록, 참가자 지급품 현장배부, 급수지원 등, 참가자 및 일반인 동선 구분, 안전요원과 비상연락망 유지",누구나,,,20180802,0
 즐거운 봉사하러 가즈아! 남서로타랙트(8/1~8/15),20180801,국제로타리 3640지구 남서 로타랙트,"안녕하세요! 저희는 20세부터 만31세까지 남녀 누구나 함께 봉사활동을 하며 친목을 다지는 봉사 동아리, 남서 로타랙트입니다^^로타랙트는 국제 로타리 클럽의 후원을 받는 국제봉사단체인데요. 로타리 클럽은 한국에 17개의 지구가 있으며저희 '남서 로타랙트'는 그 중 서울 3640 지구에 속해있는 서울 남서 로타리 클럽의 후원을 받고 있습니다.현재는 서울시 강동구 암사동에 위치한 암사 재활원 이라는 중증 장애인 시설에서귀여운 아이들과 함께 놀이활동, 식사보조, 청소와 같은 봉사활동을 한 달에 한 번정기적으로 하고 있답니다ㅎㅎ또 서울 3640지구에는 저희 남서 로타랙트 클럽 말고도 9개의 클럽이 더 있어서다양한 종류의 봉사활동을 연합해서 함께 하고 있습니다^^정기 봉사활동장소: 서울시 강동구 암사동 암사재활원 센터(암사역 1번출구)시간: 매달 넷째 주 일요일 오전 10시 ~ 오후 1시봉사활동내용: 중증 장애를 가진 어린 아이들과 놀이 활동, 식사 보조, 청소장소: 서울특별시 영등포구 영등포동 3가 6번지, 영등포시장 지하쇼핑센터 1번출구시간: 매달 셋째 주 토요일 오전 10시 ~ 오후 2시봉사활동내용 : 독거노인분들을 대상으로 배식, 주방보조, 설거지, 테이블 세팅 등의 봉사지구 연합 봉사활동정기적으로 '생명사랑밤길걷기(범국민 자살예방 캠페인)', 사랑나눔 연탄봉사활동, 김장봉사활동 등다양한 연합 봉사를 진행하고 있습니다.타 클럽 봉사 교류 활동3640지구 내 10개의 클럽과 봉사활동 교류를 활발히 펼치고 있습니다.친목 활동 및 행사매년 3640지구 내 로타랙트 인들과 화합, 친목을 위해 '지구대회'라는 행사를 진행하고 있으며그 밖에도 MT, 번개, APRRC(해외 로타랙트 교류 행사), RYLA(리더십 연수 프로그램) 등행사를 통해 다양한 사람들과의 인맥을 넓힐 수 있습니다.","서울에서 활동 가능한 20세 ~ 만 31세 남녀 누구나!대학생, 대학원생, 직장인 모두 함께해요!동아리 활동에 성실하게 참여해 주실 분들은 더더욱 환영합니다! 졸업생 가능 여부만20세~ 만 31세 남녀라면 재학생, 졸업생, 직장인 관계없이 모두 가능합니다.",서울,2018년 8월 26일(일)부터(이 날 정기 봉사활동이 예정되어 있습니다),20180801,20180815
 [국내봉사 D-7] 봉.알.못.도 대환영!! 승가원에서 신입 봉사자분들을 모집해요(~8/8),20180801,승가원봉사단,"서울시 성북구 안암동에 위치한 승가원에서 장애아동 친구들과놀이, 식사, 목욕활동 등 도우며봉사하고있습니다!봉사자들간 친목을 쌓을 수 있는 시간도 많이 마련하고 있으니 승가원에서 봉사와 친목 모두 얻어가세요~!!♡시험기간인 주에는 활동을 잠시 중단하니 부담없이 지원해주세요!같이 와서 봉사하고 좋은 사람들과 시간 보내요♥","봉사에 관심있는 모든 20대 가능합니다~!매달 홀수(1,3,5)주 일요일 오후 2~6시 봉사 가능하신 분 지원부탁드려요",서울시 성북구 안암동 승가원(안암역에서 도보 7분 거리에 위치),2018년 12월까지,20180801,20180808
  [키즈유나이티드] (D-day) 세브란스/성모/고대구로병원 병원학교 아이들을 위한 교육봉사 연합동아리(~8/1),20180801,키즈유나이티드,"신촌 세브란스병원, 서울 성모병원, 고대구로병원, 서울대 병원 어린이 병원학교에서소아암, 백혈병으로 인해 장기 입원치료 받는 아이들을 대상으로 미술/풍선아트/과학 수업을 진행합니다.","아이들을 사랑하는 대학생(졸업생 불가, 휴학생 가능)","서울대병원, 세브란스병원, 서울성모병원",2018년 9월 ~ 2019년 2월 이상(6개월 이상),20180801,20180801
 [빨간클립봉사단]빨간클립봉사단·나눔콘서트 기획단 모집(~8.17),20180801,빨간클립봉사단,봉사활동 및 기부나눔콘서트 기획,"봉사활동 및 문화·예술 활동에 관심 있는 대학생(휴학생, 졸업생 가능)",수도권,~2018년 12월 말,20180801,20180817
" [8/3,8/11]여의도한강공원 조깅-환경정화(플로깅-2시간봉사)",20180801,한강사업본부,조깅하며 쓰레기 줍기(환경정화),누구나,여의도한강공원,,20180801,20180808
 [부산봉사] SCI 국제시민봉사회 부산경남지부에서 대학생 자원봉사자를 모집합니다,20180801,sci 국제시민봉사회 부산경남지부,"일일 봉사, 주말 봉사, 정기적 모임",부산경남소재 대학생,부산,모든 활동에는 강제성이 없이 자신이 원하는 날짜에 원하는 활동을 할 수 있습니다.,20180801,0
 굿네이버스 좋은마음센터 서울동작 성폭력예방인형극 자원봉사자 모집,20180801,굿네이버스 좋은마음센터 서울동작," 동작구, 관악구에 있는 초등학교를 직접 방문하여 인형극 진행"," 대학생이면 누구나 가능(휴학생 포함, 졸업생 불가능)"," 관악구, 동작구",,20180801,20180810
" [우리봉사단] 18.8.5(일) 대구 ""한여름 어울림 봉사"" 봉사자모집 (~8/2)",20180801,우리봉사단,다문화가정 아이들과 함께하는 즐거운 놀이 및 프로그램 활동^^,"제한없음졸업생 가능 여부 (O,X)제한없음",대구광역시,>18.8.5(일요일),20180801,20180802
 즐거운 봉사하러 가즈아! 남서로타랙트(8/1~8/15),20180801,국제로타리 3640지구 남서 로타랙트,"안녕하세요! 저희는 20세부터 만31세까지 남녀 누구나 함께 봉사활동을 하며 친목을 다지는 봉사 동아리, 남서 로타랙트입니다^^로타랙트는 국제 로타리 클럽의 후원을 받는 국제봉사단체인데요. 로타리 클럽은 한국에 17개의 지구가 있으며저희 '남서 로타랙트'는 그 중 서울 3640 지구에 속해있는 서울 남서 로타리 클럽의 후원을 받고 있습니다.현재는 서울시 강동구 암사동에 위치한 암사 재활원 이라는 중증 장애인 시설에서귀여운 아이들과 함께 놀이활동, 식사보조, 청소와 같은 봉사활동을 한 달에 한 번정기적으로 하고 있답니다ㅎㅎ또 서울 3640지구에는 저희 남서 로타랙트 클럽 말고도 9개의 클럽이 더 있어서다양한 종류의 봉사활동을 연합해서 함께 하고 있습니다^^정기 봉사활동장소: 서울시 강동구 암사동 암사재활원 센터(암사역 1번출구)시간: 매달 넷째 주 일요일 오전 10시 ~ 오후 1시봉사활동내용: 중증 장애를 가진 어린 아이들과 놀이 활동, 식사 보조, 청소장소: 서울특별시 영등포구 영등포동 3가 6번지, 영등포시장 지하쇼핑센터 1번출구시간: 매달 셋째 주 토요일 오전 10시 ~ 오후 2시봉사활동내용 : 독거노인분들을 대상으로 배식, 주방보조, 설거지, 테이블 세팅 등의 봉사지구 연합 봉사활동정기적으로 '생명사랑밤길걷기(범국민 자살예방 캠페인)', 사랑나눔 연탄봉사활동, 김장봉사활동 등다양한 연합 봉사를 진행하고 있습니다.타 클럽 봉사 교류 활동3640지구 내 10개의 클럽과 봉사활동 교류를 활발히 펼치고 있습니다.친목 활동 및 행사매년 3640지구 내 로타랙트 인들과 화합, 친목을 위해 '지구대회'라는 행사를 진행하고 있으며그 밖에도 MT, 번개, APRRC(해외 로타랙트 교류 행사), RYLA(리더십 연수 프로그램) 등행사를 통해 다양한 사람들과의 인맥을 넓힐 수 있습니다.","서울에서 활동 가능한 20세 ~ 만 31세 남녀 누구나!대학생, 대학원생, 직장인 모두 함께해요!동아리 활동에 성실하게 참여해 주실 분들은 더더욱 환영합니다! 졸업생 가능 여부만20세~ 만 31세 남녀라면 재학생, 졸업생, 직장인 관계없이 모두 가능합니다.",서울,2018년 8월 26일(일)부터(이 날 정기 봉사활동이 예정되어 있습니다),20180801,20180815
 제30회 춘천인형극제 자원활동가 1차 모집공고,20180801,(재)춘천인형극제,"공연운영팀(공연장관리 등) / 행사운영팀(부대체험행사 들)홍보 마케팅팀(홍보, 안내, 매표 등)/ 해외팀(영어, 스페인어, 프랑스어, 일어 통역 등)",고등학생 이상,춘천인형극장,9월28일~10월3일,20180801,20180805
 2018 제 7회 도봉구 책축제 자원활동가 모집,20180801,도봉구청,부스운영 / 환경정리 / 행사지원 / 행사안내,대학생 이상 누구나 지원 가능,도봉구 평화문화진지,2018. 09. 15 (토) AM 11:00 ~ PM 17:00,20180730,선착순
 [아띠펜도]일요일에 시간 어때요? 봉사팀 아띠펜도 12기 회원 모집(~8/8),20180801,아띠펜도 봉사팀,승가원에서 장애아동친구들과 함께하는 정기봉사와정기 봉사시간 내에 아띠펜도에서 직접 기획하고 준비하여 진행하는 기획봉사로 활동하고 있습니다!!봉사 후에는 아띠펜도의 친목을 다질 수 있는 꿀맛 저녁식사까지 최고최고시험기간에는 잠시 활동을 중지하니 부담 갖지 말고 지원해주세요!8월 18일 토요일 아띠펜도 OT가 예정되어 있습니다. 필참이니 참고해주세요.,20대 봉사에 관심과 열정이 있으신 누구나 지원 가능합니다! 재학생 휴학생 졸업생 상관 없습니다,서울 성북구 안암역 10분거리 승가원 장애아동시설,2018년 12월까지(연장 가능),20180801,20180808
 세브란스/성모/고대구로병원 병원학교 아이들을 위한 교육봉사 연합동아리(~8/1),20180801,키즈유나이티드,"신촌 세브란스병원, 서울 성모병원, 고대구로병원, 서울대 병원 어린이 병원학교에서소아암, 백혈병으로 인해 장기 입원치료 받는 아이들을 대상으로 미술/풍선아트/과학 수업을 진행합니다.","아이들을 사랑하는 대학생(졸업생 불가, 휴학생 가능)","서울대병원, 세브란스병원, 서울성모병원",2018년 9월 ~ 2019년 2월 이상(6개월 이상),20180801,20180801
 [빨간클립봉사단]빨간클립봉사단·나눔콘서트 기획단 모집(~8.17),20180731,빨간클립봉사단,봉사활동 및 기부나눔콘서트 기획,"봉사활동 및 문화·예술 활동에 관심 있는 대학생(휴학생, 졸업생 가능)",수도권,~2018년 12월 말,20180731,20180817
